Organization Name,Industries,CB Rank (Organization),Full Description
Bluprint,"E-Learning, EdTech, Education","28,510","Bluprint helps people channel their creativity through expert-led online classes and inspiring original series. Its subscription video-on-demand allows makers around the world to pursue their passions anytime, anywhere."
Beacon Education,"EdTech, Education, Higher Education, Service Industry","28,538","Beacon Education their marketing, recruitment, support, and analytics technology services platform is a single-point solution for outstanding teaching and learning."
Lido Learning,"E-Learning, EdTech, Education, Software","28,550","Lido Learning is an ed-tech company that revolutionizes education through an immersive online platform for every child in India. With their exciting and fun live online classes for students, it builds cutting edge content like animated videos and interactive games, a personalized platform for homework, tests, challenges, and inspiring teachers. It provides interactive content to keep the students engaged and a personalized platform to improve results. Lido was founded in 2019 and is headquartered in Mumbai, Maharashtra, India."
CareerFoundry,"EdTech, Education","28,620","CareerFoundry mentors clients on how to become a designer, web developers, data analysts, and digital marketers. CareerFoundry was founded in 2013 and was headquartered in Berlin, Germany."
Transeo,"EdTech, Education, Software","28,845",Transeo empowers K-12 school districts across the country with the tools they need to run their planning processes in an equitable and inclusive process. We operate with the belief that post-secondary planning processes are too narrow and too restrictive - Transeo fixes this problem with innovative software products.
Louisiana State University,"Agriculture, EdTech, Education, Higher Education, Universities","28,935","Louisiana State University is a public institution that offers a range of undergraduate and graduate programs. It provides students with a wide range of opportunities for faculty instruction, research, community engagement, studying abroad, student leadership, and national championship athletics. The university is comprised of many colleges and schools, including College of Agriculture, College of Art & Design, E. J. Ourso College of Business, College of the Coast & Environment, College of Engineering, College of Human Sciences & Education, College of Humanities & Social Sciences, Manship School of Mass Communication, College of Music & Dramatic Arts, College of Science, School of Veterinary Medicine, Roger Hadfield Ogden Honors College, University College, LSU Paul M. Hebert Law Center, Graduate School, and more. Louisiana State University was established in 1860 and is based in Baton Rouge, Louisiana."
Clouddrop,"EdTech, Education, Information Technology, Software","28,984","CloudwerX create school management technologies which includes all tools to help schools and institutions run seamlessly. With the use of CloudwerX-Clouddrop, we are able to assist organizations in effectively managing all of their processes in a manner that is both affordable and quick. Gain access to the professional school management that is required to enhance the learning environment for both you and your Students."
Tyotto,"EdTech, Education, Higher Education","29,045","Tyotto provides total support for high school students learning from all aspects, including tutoring, self-study, questioning, learning management apps, and original programs for new entrance exams."
Curseria,"E-Learning, EdTech, Education, Training","29,220","Curseria is an online learning platform that offers courses taught by experts in various fields. The company's education and inspiration platform aim to make distance learning more accessible to everyone. The company's platform works with celebrities and renowned professionals in each field as teachers, allowing students to learn in a fun format through their idols."
Getcourse.ru,"E-Learning, EdTech, Training","29,350","Getcourse.ru is a cloud-based sales and training platform for seminars, training, courses, face-to-face, and online classes. The company is developing trainings, establishes a foundation, accepts payments via its payment module, and manages processes quickly and easily. The platform uses different content formats to increase student engagement: audio, video, text, PDF instructions, infographics, etc. It has its own Payment module that allows accepting payments from students without requiring them to connect to third-party services. There are no additional settings or integrations required; everything needs to accept payments is already available on the platform."
Sheffield Hallam University,"EdTech, Education, Higher Education","29,590","Sheffield Hallam University is a public university. It offers higher education services. The University provides courses of study in business, engineering and architecture, medicine, computer sciences, education, language, history, law, journalism, math, and other areas. Additionally, it also provides master, and doctorate levels of education as well. Sheffield Hallam University was founded in 1969 and is headquartered in Sheffield, New Zealand."
CoGrammar,"E-Learning, EdTech, Education","29,637",CoGrammar is an edtech startup that is dedicated to closing the global tech skills gap. We achieve this by integrating human mentorship and code review into the world's leading tech education brands. CoGrammar has also built and scaled its own coding education product - HyperionDev - which supports learners from over 40 countries in changing into fulfilling tech careers. HyperionDev rebranded to CoGrammar in 2018.  We’re growing fast and always on the lookout for talent - visit www.cogrammar.com and apply to make real impact in your career and to #closethegap. 
Yup.com,"Apps, EdTech, Mobile, Tutoring","29,695","Yup, a San Francisco-based education technology company, is on a mission to provide all students with access to the people and technology that will help them thrive. Founded in 2014, The Yup app provides students with math tutoring when they need it, quickly and conveniently accessed over a mobile phone or tablet. Students are matched with vetted tutors according to their math level and learning needs, ensuring that each 1:1 tutoring session is personalized and effective in providing academic support. Yup tutors are trained in our proprietary teaching methodology that combines Stanford University-developed practices and leading educational research."
Tella,"EdTech, Education","29,736","Tella is a company providing online English instruction. Tella offers English tutoring services via web/app platforms. They provide it through KakaoTalk, Korea's popular instant messaging service."
Legends of Learning,"E-Learning, EdTech, Education","29,771","Legends of Learning is an e-learning platform focused on game-based learning to advance education. The company helps educators make their classrooms fun, engaging, and productive learning environments through research-driven, curriculum-based games. Legends of Learning uses ongoing original research to create an learning games platform filled with lessons for stronger subject mastery and classroom engagement."
Wayfinder,"EdTech, Education","29,872",Project Wayfinder designed for all students to develop lives of meaning and purpose.
"University of Massachusetts, Lowell","EdTech, Education, Market Research, Universities","30,271","University of Massachusetts Lowell is a high-ranking university, with several nationally recognized academic departments. Located about 30 minutes from Boston in Lowell, Massachusetts, UMass Lowell offers more than 100 degree programs at the undergraduate and graduate levels. UMass Lowell has several nationally recognized, research-oriented programs, including science and engineering. These programs undertake groundbreaking research and also provide exceptional work opportunities for its students and graduates. Other programs at UMass Lowell include liberal and fine arts, humanities, health-related programs, teacher education and social sciences. UMass Lowell also offers a range of internship opportunities for students who wish to gain experience in their field of study. Student life options at UMass Lowell include more than 100 diverse student organizations, leadership programs and community service opportunities. Lowell’s admissions policies are moderately competitive. Financial aid is available to eligible students through loans, academic scholarships and other sources to help cover tuition."
Full Measure Education,"EdTech, Education, Higher Education, Knowledge Management, Mobile, PaaS","30,281","Full Measure Education is a Student Lifecycle and Retention Management company developing a student-facing mobile/social/web technology and human-powered retention services that keep students from dropping out of college. Full Measure Education’s cutting edge approach and technology design is the result of lessons learned by its senior management through 10,000,000 plus student help desk interactions at 850 plus colleges and universities. As a result, Full Measure Education has more post-secondary experience with which to deliver extraordinary outcomes in every major benchmark, including retention, enrollment growth, operational efficiencies, and financial aid utilization."
Wuolah,"Advertising, Collaboration, EdTech, Education, Internet, Marketing","30,317","Wuolah is a web platform where university students can share course notes in exchange for a financial reward and prestige. Furthermore, the whole university community has the possibility to improve their academic performance by downloading these materials that are displayed in a clean and tidy way and all for free. Besides, they have transformed course notes into an innovative medium for advertising that allows companies to publicize their services and products. It is a new communication channel between companies and students. In fact, they place advertisements on the course notes and they use the data provided by students when registering to achieve a high degree of market segmentation. This way WUOLAH solves the problem of finding free and accurate course notes (rated by students). Moreover, the students that upload their materials to the platform receive a financial reward for their efforts. They also solve the problem of market segmentation for advertising."
Studocu,"E-Learning, EdTech, Education, Internet","30,345",StuDocu is a student-to-student knowledge exchange platform. They are documents with each other and together strive for everyone to excel in their studies by providing the tools to students who want to study more efficiently.
John Carroll University,"EdTech, Education, Higher Education","30,475","For a quality education in the liberal arts, sciences and business in a private Catholic and Jesuit university, there’s the John Carroll University in University Heights, Ohio. The school honors its Jesuit tradition by making community service an integral part of student life. Students, faculty, staff and alumni participate in more than 36,000 service opportunity hours a year, reaching out the local community and world at large. JC offers plenty of immersion opportunities in places like Nicaragua, Honduras, Biloxi and Ecuador. The Division of Student Affairs coordinates many student activities on campus, including multicultural celebrations, career fairs, movie nights and socials. When you’re not in class, you can take part in any of these events, as something is always happening on campus. Academics include a wide variety of undergraduate degrees in fields like Catholic Studies, Entrepreneurship, Creative Writing, Philosophy and Sociology and Criminology. The school also offers pre-professional programs in Health Professions and Law and graduate degrees in Biology, English, History and more. Admissions at John Carroll University are determined by an applicant’s prior academic record, extracurricular involvement, leadership skills and personal talents. The school also considers students of diverse backgrounds, as it strives to maintain wide geographic representation. Students who file a FAFSA may be eligible to receive financial aid through need and merit-based JC scholarships, federal grants, loans and work-study programs."
Common Sense Media,"Advertising, EdTech, Education, Government, Non Profit, Politics, STEM Education","30,584","Common Sense Media is dedicated to improving the lives of kids and families by providing the trustworthy information, education, and independent voice they need to thrive in a world of media and technology. We exist because our nation's children spend more time with media and digital activities than they do with their families or in school, which profoundly impacts their social, emotional, and physical development . As a non-partisan, not-for-profit organization, we provide trustworthy information and tools, as well as an independent forum, so that families can have a choice and a voice about the media they consume. Ten Common Sense Beliefs * We believe in media sanity, not censorship. * We believe that media has truly become ""the other parent"" in our kids' lives, powerfully affecting their mental, physical, and social development. * We believe in teaching our kids to be savvy, respectful and responsible media interpreters, creators, and communicators.  We canâ€™t cover their eyes but we can teach them to see. * We believe parents should have a choice and a voice about the media our kids consume and create. Every family is different but all need information. * We believe that the price for free and open media is a bit of extra homework for families. Parents need to know about the media their kids use and need to teach responsible, ethical behavior as well as manage overall media use. * We believe that through informed decision making, we can improve the media landscape one decision at a time. * We believe appropriate regulations about right time, right place, and right manner exist. They need to be upheld by our elected and appointed leaders. * We believe in age-appropriate media and that the media industry needs to act responsibly as it creates and markets content for each audience. * We believe ratings systems should be independent and transparent for all media. * We believe in diversity of programming and media ownership."
PlusOne,"Artificial Intelligence, Augmented Reality, EdTech, Education, Personal Development, Software, Virtual Reality","31,337",PlusOne is a mixed reality platform that helps enterprises train their employees to better interact with their clients and business partners in different business context.
Particula,"EdTech, Education, Gaming","31,520","Particula is a well-funded developer of cutting edge, connected toys. We define the future of play, by reviving new life to the timeless classics and powering them into the digital era  A new generation of (""Phygital"") games and toys, empowered with “brain and connectivity”, IoT technologies, and accompanied with premium apps that bridge the physical experience with the digital space. Our award winning products open up a whole new fun and exciting way to develop new skills, improve, play and socialize together near or far!  The company is a pioneer in its field, focusing on popular (evergreen) family favorites and STEM educational games with worldwide recognition with respect to their unique design, advanced tech and high quality values for families, parents and kids!  Our flagship product, GoCube, is an app-enabled connected Cube which allows players to learn, play and battle with friends from anywhere around the globe. We're proud of our 5 star rating on Amazon, and loved by over 300,000 customers worldwide."
Indiana University of Pennsylvania,"E-Learning, EdTech, Education","31,648","Indiana University of Pennsylvania is a research university that offers an abundance of undergraduate and graduate programs. The company assists students in achieving academic excellence, receiving customized resources and attention, participating in a close-knit community, and growing personally. Degrees are offered to range from the broad and traditional philosophy of anthropology to the career-focused safety sciences of respiratory therapy."
Gradeup,"EdTech, Education, Mobile, Online Portals","31,654","Gradeup has made exam preparation accessible and affordable for over 30M students over last one year. Our Mission is to enable great opportunities for students, through high quality affordable products.  Google Play Store Link -> https://play.google.com/store/apps/details?id=co.gradeup.android"
Accredible,"E-Learning, EdTech, Education, Software","31,781","Accredible provides a digital badge and certificate platform. It is designed for creating, issuing, and managing secure digital certificates and badges. The company was founded in 2013 and is headquartered in Mountain View, California."
OnlineMedEd,"E-Learning, EdTech, Education, Health Care, Information Technology","32,030","OnlineMedEd is a clinical learning platform for a broad spectrum of healthcare learners to gain the knowledge needed for Board exams and clinical practice. In addition to being used by individual med students, the suite of products is institutionally used by over 50 universities nationally, and many more around the world."
HowNow,"E-Learning, EdTech, Education, Internet, Training","32,076",HowNow is a London-based EdTech startup that connects experts and learners by offering interactive video lessons.  It is an online platform that gives everyone the opportunity to learn from experts all over the world.  HowNow's live online video classes mean that teachers and students can interact with one another as if they were in the same room.  The company has more than 400 experts teaching in 33 countries.
Fclassroom,"Artificial Intelligence, EdTech, Education","32,094","Fclassroom is an artificial intelligence-powered education firm. Its self-developed EI education intelligence system, based on the dynamic data acquisition and intelligent analysis of the learning process, effectively achieves personalized teaching management and data intelligence driven precision teaching."
Teachable,"E-Commerce Platforms, EdTech, Education","32,167","Teachable (formerly Fedora) is changing education by making it easy to teach or sell courses online. Teacher entrepreneurs use Teachable to run their own courses work with almost half a million students online.  In a matter of minutes, Teachable allows you to create a beautiful and powerful, payment-ready course from your own website without any technical knowledge. While many use Teachable for asynchronous video-based classes teachers have used it to sell books, services, offline-online classes, group coaching, tutoring and webinars."
LanCul,"E-Learning, EdTech, Education","32,182",LanCul is an education based start up.
QwikSkills,"E-Learning, EdTech, Education","32,211","Qwikskills is an online platform that teaches people the skills they need to advance their cloud careers. It creates next-generation exam simulators and hands-on labs to ensure that candidates succeed in cloud certifications. The platform assists candidates in gaining the necessary skills, hands-on experience, and confidence. The company was established in 2020 and is headquartered in Delhi, India."
Proesc,EdTech,"32,225","Proesc is an online school management system and specialist in the financial and pedagogical management of schools and courses. Proesc is a system specialized in pedagogical and financial management of schools and courses, allows monitoring the performance of students and teachers by computer or mobile. Proesc is the most modern online school management system."
Tutored by Teachers,"EdTech, Education, Higher Education","32,228","Tutored by Teachers match students with certified teachers to deliver convenient, customized and high-quality online education.  We drive improved outcomes for students, better income for teachers and additional access for disadvantaged communities.  We will help close the achievement gap through a national tutoring program, powered by our community of teachers."
CreativeLive,"EdTech, Education, Internet, Online Portals","32,264","CreativeLive is the world’s largest live streaming education website.  Anyone can use CreativeLive to take free live online classes taught by the world's most inspiring instructors and purchase classes to take them on-demand.  CreativeLive’s instructors include New York Times bestselling authors, Pulitzer Prize winners, Emmy nominated directors, and award-winning professionals in the disciplines of photography, design, craft, business & more. CreativeLive has paid out millions of dollars to instructors. More than ten million students have used CreativeLive since the company’s inception, with 3 billion minutes of video consumed.  The company was founded in April 2010 by world-renowned photographer, director and artist Chase Jarvis and entrepreneur Craig Swanson and has been profitable since day one. The company is led by CEO Chase Jarvis, backed by Greylock Partners and has locations in Seattle and San Francisco."
Edflex,"E-Learning, EdTech, Education, MOOC, Personal Development, SaaS, Training","32,573","Edflex offers content for businesses such as articles, videos, podcasts, online courses, and books. It is a SaaS solution that connects companies to access online corporate training content. Edflex is working to improve everyone's training by making it more understandable. The company's goal is to be the innovator in bringing together participants in online training by developing an easy-to-follow learning route. The teams at Edflex strive every day to locate and offer instructional content in a way that makes learning seem natural and effortless, rather than like an extra effort."
Durham College,"EdTech, Education, Higher Education","32,596","At Durham College, the student experience comes first. In September 2013, the college welcomed more than 30,000 students to campus including more than 10,000 full-time post-secondary students as well as part-time and continuing education students and online learners. The college offers a wide range of market-driven programs in a number of different disciplines including culinary, hospitality, tourism, horticulture, business, information technology, media, art, design, general arts, science, skilled trades, justice, emergency services, health and engineering technology, enabling students to develop the skills required to meet the demands of today’s job market. A three-phase expansion of the college’s Whitby campus was recently completed when the 36,000-square-foot Centre for Food opened on the northwest corner of campus. Accommodating approximately 900 additional students studying in culinary, hospitality, tourism, agricultural and horticultural programs, it also features Bistro ’67, a new, 70-seat, full-service, green-certified teaching and learning restaurant. For more information, visit www.durhamcollege.ca or call 905.721.2000."
ProctorU,"EdTech, Education, Higher Education, Internet, Software","32,698","ProctorU is a distance proctoring company that provides internet-based test monitoring for education and certification exams. Founded by Jarrod Morgan in 2008, it works with numerous universities and professional organizations to provide students and candidates the ability to take exams at home using webcams and software. Proctors act as the student's personal exam concierge, helping them with technical difficulties and making sure they understand the rules of the exam."
EduLab,"EdTech, Education, Software","32,728","EduLab provides building new businesses and investments in the field of EdTech it also providing IT solutions and platforms for the education industry, supporting next generation education and school management systems."
Macademia,"Apps, B2B, B2C, Children, Digital Entertainment, EdTech, Education, Mobile Apps, Video Games, Video on Demand","32,927","Macademia is an award-winning global EdTech company providing educational programming and games for children. In 2019, London-based Azoomee acquired Berlin-based Da Vinci Media and combined the brands under Macademia, a new topco company. Macademia was formed to make additional acquisitions in the continued drive to consolidate the EdTech and edutainment kids’ segment.  The Azoomee and Da Vinci brands have established distribution relationships with 350+ PayTV operators, streaming platforms, telcos and OEMs who distribute their channels and apps globally. Partners include Vodafone, Telefonica/O2, PCCW, Apple, Sky, Roku, and Amazon. In total, our products reach an audience of 60 million kids & families with premium TV shows, documentaries and over 200 interactive games in 21 languages. Our mission is to help parents raise exceptional humans. We are best known for our unique selection of STEAM programming including award-winning TV shows, documentaries and educational games for kids 4 to 12."
Kira Learning,"Artificial Intelligence, E-Learning, EdTech, Machine Learning","33,100",Kira Learning is a K–12 STEM education solution that democratizes and demystifies computer science education. Their micro-course takes 9th-grade students from the basics of coding to programming a neural network. They develop tools and curriculum to help computer science teachers and students.
GoContractor,"Construction, EdTech, Internet, SaaS, Software, Training","33,121","GoContractor is a digital onboarding and subcontractor management platform designed to get construction workers on site faster, reduce compliance risk, and improve safety, while driving productivity and profitability. Using GoContractor allows construction workers and subcontractors to get on site 3x faster all while digitizing worker records, making them searchable and accessible from anywhere."
WizSchool,"Apps, Artificial Intelligence, EdTech, Education, Software","33,137","We employ real-time user code analysis algorithm based on compiler technology to diagnose learners’ levels and status of the software education. And our AI tutor for coding education using deep learning technology offers learner-centered customized learning contents to the users. Aiming for the global market, we are developing and growing our business to solve the shortage problem of software education instructors and also provide the market with the best quality software education service."
Prenda,"E-Learning, EdTech, Education, Internet","33,152","Prenda is an ed-tech company with the vision of helping young people learn technology in fun informal settings. It helps libraries and schools run code clubs weekly meetings where people work together to teach themselves computer programming. The company was founded in 2015 and is headquartered in Mesa, Arizona."
JigSpace,"3D Technology, Digital Marketing, EdTech, Industrial Engineering, Marketing, Mechanical Engineering, Software","33,182","We learn better in 3D, but until now doing so has been expensive and inaccessible. Our mission is to create a world where knowledge can be shared in the best possible way, with simple, useful, and delightful tools. Since launching, millions of people have used the free JigSpace app to discover the world and share ideas. From jet turbines, to spaceships, to coral reefs, these 3D presentations, or ‘Jigs’ empower the user to explore at their own pace, in 3D or augmented reality.  Jig Workshop enables anyone to create and share Jigs, like Canva or PowerPoint for 3D. Popular use cases include product marketing and sales training, manufacturing prototyping, education and technical support in industries like manufacturing and engineering.  Jig Workshop is used by large companies like Medtronic and Hino Trucks for its collaborative features and organization-wide scalability. Niche manufacturers like Swoop Aero (drones) or Triangle Waterquip (filtration) cite its ease of use for non-technical users to quickly share 3D presentations. Businesses use Jig Workshop to demonstrate and develop 3D products with live multiplayer interaction from customers, remote colleagues, or stakeholders."
BrainGymJr,"E-Learning, EdTech","33,184",BrainGymJr is a subscription based EdTech platform offering brain development exercises.
Coding Invaders,"E-Learning, EdTech, Education, Information Technology","33,207","Coding Invaders by MentorsPro is an ed-tech platform with mentorship working to make job-ready education available, approachable for students."
Digital Promise,"E-Learning, EdTech, Education, Innovation Management, Non Profit","33,233","Digital Promise provides support to advance technologies that can transform teaching and learning. It is a non-profit organization originated by the U.S. Congress as part of the 2008 re-authorization of the higher education opportunity act. Digital Promise was founded in 2011 and is based in Washington, District of Columbia."
Atom Learning,"E-Learning, EdTech, Education","33,249","We believe students of all backgrounds and attainment levels should experience the benefits of personalised education. We combine the highest quality teacher-produced content with adaptive technology for a personalised and impactful learning experience. Our solutions are used both at home and in schools, as we lead the way in modernising education globally."
Aoi.co,"Apps, EdTech, Education, Software","33,322","Aoi.Co has acquired over 3,000 students as users to date and unveiled that the entrance exam passing rate of users for their preferred universities has reached 86.3%. The firm plans to use the funds to strengthen its system development capability and introduce a learning state monitoring app for parents in September."
Tosko Technologies,"EdTech, Information Technology, Software","33,324",We always stay with our clients and respect their business. We deliver 100% and provide instant response to help them succeed in constantly changing and challenging world through our customized Software development and Digital marketing.
Higher Learning Technologies,"Apps, E-Learning, EdTech, Education, iOS, Mobile, Software","33,358","Higher Learning Technologies specializes in using mobile technology to create better education solutions. HLT mission is to empower students by creating the most innovative, captivating, and successful, mobile education platform. Their vision is to transform the lives of students by giving them the knowledge and confidence they need to turn their dreams into reality. It was founded in 2012 and is based in Coralville, Iowa."
Edurino,"Children, E-Learning, EdTech","33,547","Edurino is an e-learning platform that introduces digital learning responsibly and playfully for children aged 4-8. The platform gets kids started with digital learning and gets them ready for school. Children are invited to explore the world of learning through play by the company, which combines physical toys and a digital learning app. While kids learn through play, parents can monitor each child's progress in learning and set limits on how much time they spend on screens. When the allotted screen time has passed, the app independently signals the end of play and turns off the device. As a result, the learning journey can be tailored to each child's developmental stage."
AceUp,"EdTech, Education, Human Resources, SaaS, Software, Training, Virtual Workforce","33,551","AceUp helps emerging and seasoned leaders connect with their full potential. It delivers personalized executive coaching to connect employees at all levels with their full potential, through a tech-enabled framework that makes it impactful, scalable, and measurable. AceUp provides executive and people coaching that’s individualized to the unique needs, roles, and skill sets of today's professionals. It gives the team members the needed tools and framework, and especially a safe space, to build confidence in critical business and interpersonal skills with an expert that's been there and gets it. This allows the company to create stronger and more capable leaders, increase employee happiness, and drive team morale and loyalty."
NxtWave,"Career Planning, EdTech, Education, Software, Training","33,620","NxtWave is an upskilling platform that offers training programs and helps learners secure jobs. With NxtWave's Continuous Career Building Programs 4.0 (CCBP 4.0), anyone can build 4.0 skills and get high-paid jobs centered around 4.0 technologies like AI, ML, full-stack development, cybersecurity, IoT, VR/AR, blockchain, and more. By accelerating the development of people's business-relevant abilities, the company hopes to close the gap between industry and academics."
Shape Robotics,"Consumer Electronics, EdTech, Robotics, STEM Education","33,820","Shape Robotics has developed Fable robot system, which is a modular robot system for use in teaching students from 2nd grade to university. Fable is a robotic construction system that makes it easy for anyone to create their own robots. Different types of modules can be snapped together in countless ways to create the robot's body, senses and movements. Dependent on the user’s level of experience, the robot can be programmed using tools for either beginners or professionals. Fable makes it possible to use creative play to learn about technology and innovation - a solid foundation of knowledge."
SchoolPass,"Computer, EdTech, Software","33,886","SchoolPass was founded with the sole purpose of automating and securing student arrival and dismissal at PK-12 schools while eliminating manual non-value activities to significantly reduce administrative hours. They understand and support the differences between private schools, public school districts, and charter schools by using a highly configurable software platform that is scalable to support schools and districts of any size."
Genius,"Artificial Intelligence, EdTech, Education, Machine Learning","33,922",Genius was founded in February 2017 to focus on the field of K12 artificial intelligence education.
George Washington University,"EdTech, Education, Higher Education","33,982","George Washington University (GWU) is a private, co-educational research university. It is an educational institution that provides higher education services in fields such as arts, science, fine arts, music, accountancy, and business administration. It awards undergraduate and graduate degrees in several disciplines. The schools of the university include Columbian College of Arts and Sciences, The Elliott School of International Affairs, The School of Business and Public Management, The School of Engineering and Applied Science, The School of Medicine and Health Sciences, and The School of Public Health and Health Services. There are 9,700 full-time undergraduates studying in 87 majors: 1,500 in business; 500 in engineering; 2,000 in international affairs; 700 in communications and media; 800 in sciences and mathematics; 2,900 in social sciences; and 1,300 in arts, languages, and humanities. Nearly 900 students participate in the university’s study abroad programs each semester in 50 countries. Additionally, about 125 students enter the university honors program each fall. George Washington University is governed by a board of trustees and a president who are in charge of managing the institution as a whole and providing a vision for the future. The current chairman of the board is W. Russell Ramsey, a business entrepreneur who is known as the co-founder of Friedman, Billings, Ramsey Group, an investment bank in the United States. Founded on February 9, 1821, George Washington University is based in Washington, D.C."
Abwaab,EdTech,"33,991","Abwaab is an online learning platform that allows secondary-school students to learn at their own pace, test themselves and get ahead with our expert tutors anytime and anywhere. By offering short, engaging video lessons, visualized learning journeys, continuous assessment and performance analytics, we are changing the way students learn outside the classroom."
ShareWis,"EdTech, Education","34,160",ShareWis Inc. is a Japanese startup company providing EdTech services.  * ShareWis  ShareWis is a casual learning content platform with the Knowledge Map which is a network of short lectures with YouTube video and some brief quizzes. ShareWis turns learning into an adventure.  * Our Vision  Our vision is to create the place where people can find hope through learning.
Kedios Group,"EdTech, Education, Incubators, Management Consulting","34,230","KEDIOS Education Group is a leading integrated education group based in Malaysia. We’re a multi-brand organisation focus on K-12 education and edtech solutions. Today, KEDIOS Group operates more than 200 centres spread across Malaysia under various independent brands. As of 2021, our edtech platforms have built a strong consumer base (students, parents and educators) of 340k in total."
Sixup,"Big Data, EdTech, Financial Services, FinTech, Impact Investing","34,261","SIXUP is a for-profit technology company innovating the way to provide scalable financing and digital wrap-around support to high-achieving, low-income students who are underfunded and underserved. Through a systems-based approach, we aggregate, underwrite, fund, and produce a new asset (talent) class called Future-Prime that represents 7M students and $30-100 billion in volume annually.   Sixup is venture-backed with $14M in equity to-date from investors such as Collaboration Capital (Lykes Family Office), Rethink Education, Learn Capital, Kellogg Foundation, and Western Technology Investment.  Sixup has raised $41M in lending and grant capital from investors such as Goldman Sachs, Deutsche Bank, Prudential, Kellogg Foundation, Woodcock Foundation, and several family offices and impact investors.   It has partnered with community-based, advocacy, and ecosystem partners such as KIPP, Christo Rey, Genesys Works, Scholarships.com, Edvisors, and National College Access Network (NCAN).   Sixup is a for-profit, public benefit corporation based in San Francisco, and operational as a consumer lender in 18 states."
Coding Ninjas,"E-Learning, EdTech, Education, Machine Learning, Software","34,539","Coding Ninjas is an e-learning platform that offers coding and other programming courses for students and professionals. The company is focusing on courses on C++, Java, Python, Android, Machine Learning, Data Science, WebDev, interview prep, tech aptitude, etc. Coding Ninjas is the most preferred technical course platform for students in India and currently has a monopoly position across the college market in India. With the vision to teach millions in a scalable way, Coding Ninjas has pioneered a proprietary online teaching platform, which completely mirrors the offline classroom experience into online, and thus delivers a world-class learning experience to students. With an in-house placement cell, Coding Ninjas is actively involved in sourcing relevant tech openings and showcasing Coding Ninjas students' profiles to get them a rewarding career in tech."
WeLearno,"EdTech, Education, Software","34,594","WeLearno is a language learning application startup that helps its users learn English by using websites and applications. It uses the most effective methods based on CEFR (Common European Framework of Reference) to help its users learn English by watching their favorite movies and TV series and let them have fun throughout the whole language learning process which sometimes can get really boring. Wei Lerno is not just an application but also a platform that provides LMS (Learning Management System) which can be used for blended learning, distance education, flipped classroom, and other e-learning projects in schools, institutes, and various workplaces. It was founded in 2018 and is headquartered in Tehran, Iran."
Electives,"EdTech, Information Technology, Training","34,691","Electives is an enterprise live learning platform that offers interactive classes for employees. Its classes cover a range of topics: new manager training, communications, team building, negotiations, innovation, resiliency, diversity, equity, inclusion, and more. Its teachers include professors, authors, CEOs, judges, Olympians, FBI Agents, improv comedians, anti-racism thought leaders, and more."
Avishkaar,"EdTech, Education","34,759","Avishkaar is a leader in STEAM (Science, Technology, Engineering, Arts, Mathematics) education disseminating through its own range of Do-It-Yourself Robotics, making and coding products. It houses a dynamic ecosystem where imagination and innovation among young minds are encouraged through engaging educational experiences. Avishkaar Learning Programs focus on STEAM concepts and provide ideas, experiences and material (hands-on/virtual) that children use to achieve their goals. Avishkaar runs a number of school programs such as Robotics, Tinkering labs, and MakerSpaces across India and abroad."
BodhiAI,"Apps, Artificial Intelligence, E-Learning, EdTech, Education, Edutainment, Higher Education","34,825","Bodhi AI system links every activity of a student with a probability of selection in exams and for teachers, it helps them find areas where they can improve instruction for students who may struggle with the subject matter. Bodhi AI platform is designed to empower both Students and Teachers to enhance their quality of learning as well as teaching. With the help of AI, the platform aims to predict future actions which further helps teachers and students draw meaningful insights."
Backer,"EdTech, Education, Finance, Financial Services, FinTech","34,853","Backer is a social savings platform that makes it easy for parents to invest tax-free for education with a 529 Savings Plan, and do so with robust financial support from family and friends. Backer has helped its families avoid over $500M in student debt so far, with 40% of the savings coming from grandparents, uncles/aunts, and more distant friends/relatives. Backer recently announced a $8.4 million round of funding led by Crosslink Capital's Jim Feuille (board director at Chime) and Rally Ventures with participation from Corellation Ventures, Princeton, Dartmouth, USC, and prominent angels including founders of SoFi, Patreon, Quizlet, and CircleUp."
Opentrack,"Apps, EdTech, Music","34,871","Opentrack provides a music education platform. They offer advanced users a music career through online courses. They connect students to music teachers offering lessons in piano, voice, and composition."
AntWalk,"E-Learning, EdTech, Education, Video","35,067","AntWalk is a video platform that equips professionals with learning and skills. Its up-skilling programs are delivered by top industry leaders and customized to meet the needs of ever-evolving organizations. Its platform is powered by 3,000+ Experts from 500+ Global Brands to provide professionals with an arsenal of Short Knowledge Bytes, Live Group Classes, and 1:1 Interactions with Experts. These enable them to learn in the flow of work, develop a growth mindset and propel their career to the next level. The company was founded in 2019 and is based in Bangalore, Karnataka, India."
Imperial College London,"EdTech, Education, Universities","35,300","Imperial College London is a university with a mission to benefit society through excellence in science, engineering, medicine and business."
